225|HP 15 i3-5005U/8GB/120/DVD|1 529,00 zł|380 mm|8 GB (SO-DIMM DDR3, 1600 MHz)|Matowy, LED|254 mm|24 miesiące (gwarancja x-kom sp. z o.o.)|Intel HD Graphics 5500|Zasilacz
226|HP 15 i3-5005U/8GB/120/DVD/W10|1 829,00 zł|380 mm|8 GB (SO-DIMM DDR3, 1600 MHz)|Matowy, LED|254 mm|24 miesiące (gwarancja x-kom sp. z o.o.)|Intel HD Graphics 5500|Zasilacz
227|HP 15 i3-5005U/8GB/120/DVD/W10ProX|2 099,00 zł|380 mm|8 GB (SO-DIMM DDR3, 1600 MHz)|Matowy, LED|254 mm|24 miesiące (gwarancja x-kom sp. z o.o.)|Intel HD Graphics 5500|Zasilacz


230|Lenovo Ideapad 330-15 Ryzen 5/8GB/2TB|2 249,00 zł|378 mm|8 GB (SO-DIMM DDR4, 2400MHz)|Matowy, LED|260 mm|24 miesiące (gwarancja x-kom sp. z o.o.)|AMD Radeon Vega 8|Zasilacz
231|Lenovo Ideapad 330-15 Ryzen 3/4GB/120|1 649,00 zł|378 mm|4 GB (SO-DIMM DDR4, 2400MHz)|Matowy, LED|260 mm|24 miesiące (gwarancja x-kom sp. z o.o.)|AMD Radeon Vega 3|Zasilacz
232|Lenovo Ideapad 330-15 i3-8130U/4GB/128|1 699,00 zł|378 mm|4 GB (SO-DIMM DDR4, 2133MHz)|Matowy, LED|260 mm|24 miesiące (gwarancja producenta)|Intel UHD Graphics 620|Zasilacz
233|Lenovo Ideapad 330-15 Ryzen 5/4GB/240/Win10|2 199,00 zł|378 mm|4 GB (SO-DIMM DDR4, 2400MHz)|Matowy, LED|260 mm|24 miesiące (gwarancja x-kom sp. z o.o.)|AMD Radeon Vega 8|Zasilacz
234|Lenovo Ideapad 330-15 E2-9000/4GB/240 FHD|1 299,00 zł|378 mm|4 GB (SO-DIMM DDR4, 2666MHz)|Matowy, LED|260 mm|24 miesiące (gwarancja x-kom sp. z o.o.)|AMD Radeon R2 series|Zasilacz
235|Lenovo Ideapad 330-15 E2-9000/8GB/120 FHD|1 399,00 zł|378 mm|8 GB (SO-DIMM DDR4, 2666MHz)|Matowy, LED|260 mm|24 miesiące (gwarancja x-kom sp. z o.o.)|AMD Radeon R2 series|Zasilacz
236|Lenovo Ideapad 330-15 i5-8250U/8GB/240|2 349,00 zł|378 mm|8 GB (SO-DIMM DDR4, 2133MHz)|Matowy, LED|260 mm|24 miesiące (gwarancja x-kom sp. z o.o.)|Intel UHD Graphics 620|Zasilacz
237|Lenovo Ideapad 330-15 i5-8250U/8GB/480|2 499,00 zł|378 mm|8 GB (SO-DIMM DDR4, 2133MHz)|Matowy, LED|260 mm|24 miesiące (gwarancja x-kom sp. z o.o.)|Intel HD Graphics 620|Zasilacz
238|Lenovo Ideapad 330-15 Ryzen 5/8GB/240|2 199,00 zł|378 mm|8 GB (SO-DIMM DDR4, 2400MHz)|Matowy, LED|260 mm|24 miesiące (gwarancja x-kom sp. z o.o.)|AMD Radeon Vega 8|Zasilacz
239|Lenovo Ideapad 330-15 Ryzen 3/4GB/240|1 699,00 zł|378 mm|4 GB (SO-DIMM DDR4, 2400MHz)|Matowy, LED|260 mm|24 miesiące (gwarancja x-kom sp. z o.o.)|AMD Radeon Vega 3|Zasilacz
240|Lenovo Ideapad 330-15 Ryzen 5/4GB/120|1 949,00 zł|378 mm|4 GB (SO-DIMM DDR4, 2400MHz)|Matowy, LED|260 mm|24 miesiące (gwarancja x-kom sp. z o.o.)|AMD Radeon Vega 8|Zasilacz
241|Lenovo Ideapad 330-15 Ryzen 3/4GB/120/Win10|1 949,00 zł|378 mm|4 GB (SO-DIMM DDR4, 2400MHz)|Matowy, LED|260 mm|24 miesiące (gwarancja x-kom sp. z o.o.)|AMD Radeon Vega 3|Zasilacz
242|Lenovo Ideapad 330-15 Ryzen 5/8GB/240/Win10|2 499,00 zł|378 mm|8 GB (SO-DIMM DDR4, 2400MHz)|Matowy, LED|260 mm|24 miesiące (gwarancja x-kom sp. z o.o.)|AMD Radeon Vega 8|Zasilacz
243|Lenovo Ideapad 330-15 Ryzen 5/12GB/240/Win10|2 599,00 zł|378 mm|12 GB (SO-DIMM DDR4, 2400MHz)|Matowy, LED|260 mm|24 miesiące (gwarancja x-kom sp. z o.o.)|AMD Radeon Vega 8|Zasilacz
244|Lenovo Ideapad 330-15 Ryzen 3/8GB/240|1 899,00 zł|378 mm|8 GB (SO-DIMM DDR4, 2400MHz)|Matowy, LED|260 mm|24 miesiące (gwarancja x-kom sp. z o.o.)|AMD Radeon Vega 3|Zasilacz
245|Lenovo Ideapad 330-15 Ryzen 3/4GB/1TB|1 599,00 zł|378 mm|4 GB (SO-DIMM DDR4, 2400MHz)|Matowy, LED|260 mm|24 miesiące (gwarancja producenta)|AMD Radeon Vega 3|Zasilacz
246|Lenovo Ideapad 330-15 i5-8250U/20GB/240|2 799,00 zł|378 mm|20 GB (SO-DIMM DDR4, 2133MHz)|Matowy, LED|260 mm|24 miesiące (gwarancja x-kom sp. z o.o.)|Intel UHD Graphics 620|Zasilacz
247|Lenovo Ideapad 330-15 i5-8250U/8GB/120|2 299,00 zł|378 mm|8 GB (SO-DIMM DDR4, 2133MHz)|Matowy, LED|260 mm|24 miesiące (gwarancja x-kom sp. z o.o.)|Intel UHD Graphics 620|Zasilacz
248|Lenovo Ideapad 330-15 Ryzen 3/4GB/240/Win10|1 999,00 zł|378 mm|4 GB (SO-DIMM DDR4, 2400MHz)|Matowy, LED|260 mm|24 miesiące (gwarancja x-kom sp. z o.o.)|AMD Radeon Vega 3|Zasilacz


